,1. open,2. high,3. low,4. close,5. volume,BTC_USD_Close
2024-08-16,57543.57000000,59871.61000000,57096.56000000,58888.99000000,11930.21788221,58888.99
2024-08-17,58888.99000000,59711.02000000,58803.45000000,59497.49000000,2787.56355634,59497.49
2024-08-18,59497.49000000,60284.99000000,58422.00000000,58437.90000000,4325.64817169,58437.9
2024-08-19,58436.20000000,59639.81000000,57820.00000000,59452.67000000,8539.29378706,59452.67
2024-08-20,59455.81000000,61457.03000000,58571.96000000,59017.59000000,11062.05279919,59017.59
2024-08-21,59017.59000000,61849.98000000,58793.89000000,61163.28000000,13380.11101719,61163.28
2024-08-22,61167.54000000,61430.48000000,59750.00000000,60383.29000000,9608.69553680,60383.29
2024-08-23,60383.28000000,64987.00000000,60343.20000000,64086.72000000,17852.77117167,64086.72
2024-08-24,64091.63000000,64529.78000000,63564.22000000,64179.63000000,5020.91676004,64179.63
2024-08-25,64179.63000000,65050.08000000,63793.74000000,64251.93000000,4012.30764642,64251.93
2024-08-26,64250.01000000,64509.36000000,62806.80000000,62840.00000000,10741.96651081,62840.0
2024-08-27,62840.09000000,63226.26000000,58025.49000000,59439.64000000,14195.89496578,59439.64
2024-08-28,59437.68000000,60236.98000000,57851.62000000,59045.88000000,10001.12169866,59045.88
2024-08-29,59047.94000000,61194.09000000,58729.39000000,59364.47000000,10933.22040343,59364.47
2024-08-30,59353.12000000,59929.63000000,57700.00000000,59112.77000000,9382.91245080,59112.77
2024-08-31,59117.59000000,59446.99000000,58739.31000000,58968.37000000,1368.21775121,58968.37
2024-09-01,58968.37000000,59070.55000000,57200.00000000,57299.00000000,4411.05388122,57299.0
2024-09-02,57291.21000000,59423.00000000,57119.01000000,59139.83000000,4318.65446030,59139.83
2024-09-03,59138.89000000,59825.70000000,57394.49000000,57468.84000000,8264.44971184,57468.84
2024-09-04,57460.50000000,58531.25000000,55555.00000000,57971.00000000,13715.96171494,57971.0
2024-09-05,57971.00000000,58326.12000000,55628.04000000,56156.82000000,12281.57828747,56156.82
2024-09-06,56156.82000000,56995.00000000,52530.00000000,53950.01000000,18495.45064356,53950.01
2024-09-07,53950.00000000,54847.00000000,53733.10000000,54156.33000000,3284.57722628,54156.33
2024-09-08,54159.60000000,55315.95000000,53623.95000000,54881.11000000,3684.86816392,54881.11
2024-09-09,54881.10000000,58119.97000000,54565.56000000,57053.90000000,10203.03329517,57053.9
2024-09-10,57047.82000000,58050.35000000,56377.76000000,57645.59000000,6433.21371111,57645.59
2024-09-11,57641.15000000,58014.35000000,55534.41000000,57352.79000000,11678.94297124,57352.79
2024-09-12,57352.92000000,58600.00000000,57311.15000000,58137.54000000,10175.62390483,58137.54
2024-09-13,58137.33000000,60670.00000000,57630.01000000,60543.35000000,11935.95544754,60543.35
2024-09-14,60543.35000000,60660.00000000,59436.80000000,60012.35000000,3147.39019631,60012.35
2024-09-15,60012.34000000,60402.34000000,58695.75000000,59122.33000000,3975.35681850,59122.33
2024-09-16,59122.70000000,59214.15000000,57477.00000000,58208.75000000,7654.10991835,58208.75
2024-09-17,58209.76000000,61373.41000000,57620.27000000,60312.60000000,11701.89074715,60312.6
2024-09-18,60317.38000000,61800.00000000,59174.50000000,61769.18000000,11471.50683029,61769.18
2024-09-19,61770.38000000,63891.82000000,61569.16000000,62960.14000000,15075.86835522,62960.14
2024-09-20,62956.04000000,64140.67000000,62340.00000000,63210.69000000,10636.10828090,63210.69
2024-09-21,63210.94000000,63575.63000000,62755.00000000,63362.74000000,1960.85712028,63362.74
2024-09-22,63362.74000000,64000.00000000,62380.55000000,63577.66000000,2882.23419820,63577.66
2024-09-23,63580.39000000,64739.67000000,62566.28000000,63338.87000000,7014.74459935,63338.87
2024-09-24,63338.85000000,64700.00000000,62689.15000000,64272.93000000,8933.46473574,64272.93
2024-09-25,64272.93000000,64811.00000000,62932.80000000,63130.89000000,5909.09510453,63130.89
2024-09-26,63131.13000000,65865.00000000,62652.99000000,65177.21000000,12789.85035505,65177.21
2024-09-27,65176.39000000,66550.00000000,64827.85000000,65789.00000000,9529.01688080,65789.0
2024-09-28,65787.53000000,66266.39000000,65400.00000000,65858.99000000,2755.22680581,65858.99
2024-09-29,65857.33000000,66059.00000000,65433.29000000,65600.01000000,2721.35197741,65600.01
2024-09-30,65600.01000000,65624.95000000,62833.95000000,63301.25000000,10629.74147917,63301.25
2024-10-01,63305.52000000,64106.75000000,60150.89000000,60790.00000000,15970.80295516,60790.0
2024-10-02,60792.63000000,62380.34000000,59969.20000000,60631.37000000,8764.03050337,60631.37
2024-10-03,60631.36000000,61474.92000000,59824.87000000,60744.99000000,7834.55718072,60744.99
2024-10-04,60745.00000000,62481.00000000,60454.50000000,62090.71000000,7884.21831808,62090.71
2024-10-05,62090.70000000,62380.04000000,61686.34000000,62051.29000000,1783.56564961,62051.29
2024-10-06,62051.29000000,62978.75000000,61805.85000000,62810.86000000,2086.21821773,62810.86
2024-10-07,62810.93000000,64467.02000000,62113.28000000,62200.28000000,10707.15000150,62200.28
2024-10-08,62203.82000000,63191.05000000,61824.48000000,62122.02000000,6566.33034742,62122.02
2024-10-09,62118.44000000,62507.68000000,60255.00000000,60578.28000000,7582.36723494,60578.28
2024-10-10,60578.28000000,61271.59000000,58863.90000000,60279.53000000,10462.57962276,60279.53
2024-10-11,60279.53000000,63416.70000000,60029.98000000,62518.75000000,11454.99005340,62518.75
2024-10-12,62518.75000000,63474.25000000,62464.15000000,63187.47000000,3943.90648994,63187.47
2024-10-13,63183.08000000,63270.18000000,62033.00000000,62845.30000000,2257.61460657,62845.3
2024-10-14,62847.89000000,66500.00000000,62426.67000000,66065.65000000,13638.71106556,66065.65
2024-10-15,66065.64000000,67944.76000000,64778.44000000,67056.60000000,16324.01191342,67056.6
2024-10-16,67056.62000000,68399.00000000,66743.00000000,67608.44000000,12465.75691229,67608.44
2024-10-17,67608.45000000,67926.99000000,66629.97000000,67402.33000000,7912.22639285,67402.33
2024-10-18,67399.86000000,69000.62000000,67149.24000000,68426.11000000,11802.74441943,68426.11
2024-10-19,68426.11000000,68689.29000000,68005.83000000,68363.73000000,1868.86958754,68363.73
2024-10-20,68363.73000000,69380.00000000,68083.18000000,69014.86000000,2632.89214855,69014.86
2024-10-21,69014.87000000,69498.00000000,66802.00000000,67346.15000000,10226.59346669,67346.15
2024-10-22,67346.15000000,67800.00000000,66535.00000000,67380.08000000,8598.06472763,67380.08
2024-10-23,67389.70000000,67415.65000000,65149.51000000,66601.11000000,9021.17140157,66601.11
2024-10-24,66601.10000000,68800.00000000,66445.32000000,68156.84000000,10016.19830413,68156.84
2024-10-25,68156.84000000,68742.38000000,65500.01000000,66564.51000000,14485.49253537,66564.51
2024-10-26,66564.51000000,67365.18000000,66331.95000000,67012.56000000,2949.21997010,67012.56
2024-10-27,67008.15000000,68261.37000000,66836.78000000,67943.19000000,2819.59766921,67943.19
2024-10-28,67943.18000000,70235.98000000,67532.48000000,69924.50000000,16140.14013624,69924.5
2024-10-29,69924.49000000,73624.98000000,69705.76000000,72724.35000000,20616.91187006,72724.35
2024-10-30,72724.35000000,72948.60000000,71400.01000000,72322.91000000,13543.49337837,72322.91
2024-10-31,72322.91000000,72684.02000000,69559.33000000,70197.83000000,14726.78460342,70197.83
2024-11-01,70198.02000000,71620.00000000,68720.00000000,69467.29000000,15295.28781188,69467.29
2024-11-02,69466.64000000,69891.92000000,69000.00000000,69358.94000000,2203.99644104,69358.94
